,h,l,n,fairness_sent,cor,cor_abs
200,125,125,25,fairness_sent,0.4355,0.4355
201,125,125,50,fairness_sent,-0.4579,0.4579
202,125,125,75,fairness_sent,0.4621,0.4621
203,125,125,100,fairness_sent,0.4582,0.4582
204,125,125,125,fairness_sent,0.3733,0.3733
205,125,150,25,fairness_sent,-0.442,0.442
206,125,150,50,fairness_sent,0.4466,0.4466
207,125,150,75,fairness_sent,0.4561,0.4561
208,125,150,100,fairness_sent,0.4716,0.4716
209,125,150,125,fairness_sent,0.4748,0.4748
210,125,175,25,fairness_sent,-0.4172,0.4172
211,125,175,50,fairness_sent,0.4228,0.4228
212,125,175,75,fairness_sent,0.4466,0.4466
213,125,175,100,fairness_sent,0.4697,0.4697
214,125,175,125,fairness_sent,-0.456,0.456
215,125,200,25,fairness_sent,0.3861,0.3861
216,125,200,50,fairness_sent,0.4225,0.4225
217,125,200,75,fairness_sent,0.3978,0.3978
218,125,200,100,fairness_sent,-0.4312,0.4312
219,125,200,125,fairness_sent,0.4185,0.4185
220,125,225,25,fairness_sent,-0.3643,0.3643
221,125,225,50,fairness_sent,0.4208,0.4208
222,125,225,75,fairness_sent,0.4044,0.4044
223,125,225,100,fairness_sent,0.4229,0.4229
224,125,225,125,fairness_sent,0.4064,0.4064
225,125,250,25,fairness_sent,-0.3645,0.3645
226,125,250,50,fairness_sent,0.4223,0.4223
227,125,250,75,fairness_sent,0.4205,0.4205
228,125,250,100,fairness_sent,0.4033,0.4033
229,125,250,125,fairness_sent,0.3849,0.3849
230,125,275,25,fairness_sent,-0.3704,0.3704
231,125,275,50,fairness_sent,0.4169,0.4169
232,125,275,75,fairness_sent,0.3966,0.3966
233,125,275,100,fairness_sent,0.3898,0.3898
234,125,275,125,fairness_sent,0.3601,0.3601
235,125,300,25,fairness_sent,0.3025,0.3025
236,125,300,50,fairness_sent,0.4191,0.4191
237,125,300,75,fairness_sent,0.3863,0.3863
238,125,300,100,fairness_sent,0.3581,0.3581
239,125,300,125,fairness_sent,0.3443,0.3443
240,125,325,25,fairness_sent,0.3094,0.3094
