,h,l,n,sanctity_sent,cor,cor_abs
147,100,250,50,sanctity_sent,0.3749,0.3749
148,100,250,75,sanctity_sent,-0.41,0.41
149,100,250,100,sanctity_sent,0.382,0.382
150,100,275,25,sanctity_sent,-0.3221,0.3221
151,100,275,50,sanctity_sent,0.3946,0.3946
152,100,275,75,sanctity_sent,-0.4053,0.4053
153,100,275,100,sanctity_sent,0.38,0.38
154,100,300,25,sanctity_sent,-0.3035,0.3035
155,100,300,50,sanctity_sent,0.3909,0.3909
156,100,300,75,sanctity_sent,-0.4144,0.4144
157,100,300,100,sanctity_sent,0.3917,0.3917
158,100,325,25,sanctity_sent,-0.3045,0.3045
159,100,325,50,sanctity_sent,0.403,0.403
160,100,325,75,sanctity_sent,-0.4212,0.4212
161,100,325,100,sanctity_sent,0.3838,0.3838
162,100,350,25,sanctity_sent,-0.3575,0.3575
163,100,350,50,sanctity_sent,0.4022,0.4022
164,100,350,75,sanctity_sent,-0.414,0.414
165,100,350,100,sanctity_sent,0.3644,0.3644
166,100,375,25,sanctity_sent,-0.3575,0.3575
167,100,375,50,sanctity_sent,0.3762,0.3762
168,100,375,75,sanctity_sent,-0.3965,0.3965
169,100,375,100,sanctity_sent,0.3447,0.3447
170,100,400,25,sanctity_sent,-0.3575,0.3575
171,100,400,50,sanctity_sent,-0.37,0.37
172,100,400,75,sanctity_sent,-0.3929,0.3929
173,100,400,100,sanctity_sent,0.351,0.351
174,100,425,25,sanctity_sent,-0.3473,0.3473
175,100,425,50,sanctity_sent,0.3329,0.3329
176,100,425,75,sanctity_sent,-0.3915,0.3915
177,100,425,100,sanctity_sent,0.3436,0.3436
178,100,450,25,sanctity_sent,-0.3512,0.3512
179,100,450,50,sanctity_sent,0.3305,0.3305
180,100,450,75,sanctity_sent,-0.3883,0.3883
181,100,450,100,sanctity_sent,0.3367,0.3367
182,100,475,25,sanctity_sent,-0.3711,0.3711
183,100,475,50,sanctity_sent,0.3402,0.3402
184,100,475,75,sanctity_sent,-0.3808,0.3808
185,100,475,100,sanctity_sent,0.3354,0.3354
186,100,500,25,sanctity_sent,-0.3396,0.3396
187,100,500,50,sanctity_sent,0.342,0.342
188,100,500,75,sanctity_sent,-0.3566,0.3566
189,100,500,100,sanctity_sent,0.3233,0.3233
190,125,25,25,sanctity_sent,-0.1663,0.1663
191,125,50,25,sanctity_sent,-0.3676,0.3676
192,125,50,50,sanctity_sent,0.2726,0.2726
193,125,75,25,sanctity_sent,-0.2981,0.2981
194,125,75,50,sanctity_sent,0.4243,0.4243
195,125,75,75,sanctity_sent,0.4022,0.4022
196,125,100,25,sanctity_sent,0.3599,0.3599
197,125,100,50,sanctity_sent,0.4118,0.4118
198,125,100,75,sanctity_sent,-0.4468,0.4468
199,125,100,100,sanctity_sent,-0.4367,0.4367
200,125,125,25,sanctity_sent,-0.3673,0.3673
201,125,125,50,sanctity_sent,0.3931,0.3931
202,125,125,75,sanctity_sent,-0.4152,0.4152
203,125,125,100,sanctity_sent,-0.4662,0.4662
204,125,125,125,sanctity_sent,-0.4378,0.4378
205,125,150,25,sanctity_sent,-0.36,0.36
206,125,150,50,sanctity_sent,-0.3861,0.3861
207,125,150,75,sanctity_sent,-0.4046,0.4046
208,125,150,100,sanctity_sent,0.4163,0.4163
209,125,150,125,sanctity_sent,0.4161,0.4161
210,125,175,25,sanctity_sent,-0.379,0.379
211,125,175,50,sanctity_sent,0.3942,0.3942
212,125,175,75,sanctity_sent,0.4096,0.4096
