,h,l,n,authority_sent,cor,cor_abs
164,100,350,75,authority_sent,0.4239,0.4239
165,100,350,100,authority_sent,0.3643,0.3643
166,100,375,25,authority_sent,-0.3441,0.3441
167,100,375,50,authority_sent,-0.3601,0.3601
168,100,375,75,authority_sent,0.4056,0.4056
169,100,375,100,authority_sent,0.3425,0.3425
170,100,400,25,authority_sent,0.3127,0.3127
171,100,400,50,authority_sent,0.3616,0.3616
172,100,400,75,authority_sent,0.4025,0.4025
173,100,400,100,authority_sent,0.3366,0.3366
174,100,425,25,authority_sent,0.3127,0.3127
175,100,425,50,authority_sent,-0.3598,0.3598
176,100,425,75,authority_sent,0.3918,0.3918
177,100,425,100,authority_sent,0.3355,0.3355
178,100,450,25,authority_sent,0.2932,0.2932
179,100,450,50,authority_sent,-0.3406,0.3406
180,100,450,75,authority_sent,0.3836,0.3836
181,100,450,100,authority_sent,0.3175,0.3175
182,100,475,25,authority_sent,0.2932,0.2932
183,100,475,50,authority_sent,-0.3692,0.3692
184,100,475,75,authority_sent,0.3773,0.3773
185,100,475,100,authority_sent,0.3226,0.3226
186,100,500,25,authority_sent,0.2932,0.2932
187,100,500,50,authority_sent,-0.3676,0.3676
188,100,500,75,authority_sent,0.3712,0.3712
189,100,500,100,authority_sent,0.3237,0.3237
190,125,25,25,authority_sent,-0.2159,0.2159
191,125,50,25,authority_sent,0.3444,0.3444
192,125,50,50,authority_sent,-0.2674,0.2674
193,125,75,25,authority_sent,-0.4177,0.4177
194,125,75,50,authority_sent,-0.4331,0.4331
195,125,75,75,authority_sent,0.3081,0.3081
196,125,100,25,authority_sent,0.4314,0.4314
197,125,100,50,authority_sent,-0.4826,0.4826
198,125,100,75,authority_sent,-0.4328,0.4328
199,125,100,100,authority_sent,0.3674,0.3674
200,125,125,25,authority_sent,0.3513,0.3513
201,125,125,50,authority_sent,0.4525,0.4525
202,125,125,75,authority_sent,0.4851,0.4851
203,125,125,100,authority_sent,-0.4653,0.4653
204,125,125,125,authority_sent,0.3927,0.3927
205,125,150,25,authority_sent,-0.3958,0.3958
206,125,150,50,authority_sent,0.4542,0.4542
207,125,150,75,authority_sent,-0.4934,0.4934
208,125,150,100,authority_sent,-0.4733,0.4733
209,125,150,125,authority_sent,0.4791,0.4791
210,125,175,25,authority_sent,-0.4348,0.4348
211,125,175,50,authority_sent,0.4569,0.4569
212,125,175,75,authority_sent,-0.4615,0.4615
213,125,175,100,authority_sent,-0.4643,0.4643
214,125,175,125,authority_sent,0.4677,0.4677
215,125,200,25,authority_sent,-0.4297,0.4297
216,125,200,50,authority_sent,0.4493,0.4493
217,125,200,75,authority_sent,0.4672,0.4672
218,125,200,100,authority_sent,-0.4646,0.4646
219,125,200,125,authority_sent,0.4538,0.4538
220,125,225,25,authority_sent,0.334,0.334
221,125,225,50,authority_sent,-0.4449,0.4449
222,125,225,75,authority_sent,0.4602,0.4602
223,125,225,100,authority_sent,0.469,0.469
224,125,225,125,authority_sent,0.451,0.451
225,125,250,25,authority_sent,-0.3029,0.3029
226,125,250,50,authority_sent,-0.4318,0.4318
227,125,250,75,authority_sent,0.457,0.457
228,125,250,100,authority_sent,0.4434,0.4434
229,125,250,125,authority_sent,0.4454,0.4454
230,125,275,25,authority_sent,0.3356,0.3356
231,125,275,50,authority_sent,-0.4221,0.4221
232,125,275,75,authority_sent,0.4162,0.4162
233,125,275,100,authority_sent,0.414,0.414
234,125,275,125,authority_sent,0.416,0.416
235,125,300,25,authority_sent,0.3372,0.3372
236,125,300,50,authority_sent,-0.419,0.419
237,125,300,75,authority_sent,0.4297,0.4297
238,125,300,100,authority_sent,0.4126,0.4126
239,125,300,125,authority_sent,0.4019,0.4019
240,125,325,25,authority_sent,0.3372,0.3372
241,125,325,50,authority_sent,-0.4234,0.4234
