,h,l,n,loyalty_sent,cor,cor_abs
177,100,425,100,loyalty_sent,0.3471,0.3471
178,100,450,25,loyalty_sent,-0.1325,0.1325
179,100,450,50,loyalty_sent,0.4156,0.4156
180,100,450,75,loyalty_sent,0.3434,0.3434
181,100,450,100,loyalty_sent,0.3508,0.3508
182,100,475,25,loyalty_sent,-0.0469,0.0469
183,100,475,50,loyalty_sent,-0.4081,0.4081
184,100,475,75,loyalty_sent,0.3342,0.3342
185,100,475,100,loyalty_sent,0.3302,0.3302
186,100,500,25,loyalty_sent,-0.0469,0.0469
187,100,500,50,loyalty_sent,0.3842,0.3842
188,100,500,75,loyalty_sent,0.3305,0.3305
189,100,500,100,loyalty_sent,0.3237,0.3237
190,125,25,25,loyalty_sent,-0.2454,0.2454
191,125,50,25,loyalty_sent,-0.3726,0.3726
192,125,50,50,loyalty_sent,-0.3269,0.3269
193,125,75,25,loyalty_sent,0.4331,0.4331
194,125,75,50,loyalty_sent,0.4228,0.4228
195,125,75,75,loyalty_sent,-0.3823,0.3823
196,125,100,25,loyalty_sent,-0.437,0.437
197,125,100,50,loyalty_sent,-0.4732,0.4732
198,125,100,75,loyalty_sent,-0.46,0.46
199,125,100,100,loyalty_sent,-0.3852,0.3852
200,125,125,25,loyalty_sent,-0.4391,0.4391
201,125,125,50,loyalty_sent,-0.4704,0.4704
202,125,125,75,loyalty_sent,0.4765,0.4765
203,125,125,100,loyalty_sent,-0.4673,0.4673
204,125,125,125,loyalty_sent,-0.4048,0.4048
205,125,150,25,loyalty_sent,-0.4284,0.4284
206,125,150,50,loyalty_sent,-0.4848,0.4848
207,125,150,75,loyalty_sent,0.4922,0.4922
208,125,150,100,loyalty_sent,0.4842,0.4842
209,125,150,125,loyalty_sent,-0.4749,0.4749
210,125,175,25,loyalty_sent,-0.4515,0.4515
211,125,175,50,loyalty_sent,-0.4542,0.4542
212,125,175,75,loyalty_sent,-0.4911,0.4911
213,125,175,100,loyalty_sent,-0.4748,0.4748
214,125,175,125,loyalty_sent,-0.4818,0.4818
215,125,200,25,loyalty_sent,-0.4178,0.4178
216,125,200,50,loyalty_sent,-0.4174,0.4174
217,125,200,75,loyalty_sent,0.4231,0.4231
218,125,200,100,loyalty_sent,0.4518,0.4518
219,125,200,125,loyalty_sent,0.4502,0.4502
220,125,225,25,loyalty_sent,-0.416,0.416
221,125,225,50,loyalty_sent,-0.4134,0.4134
222,125,225,75,loyalty_sent,0.4072,0.4072
223,125,225,100,loyalty_sent,0.4207,0.4207
224,125,225,125,loyalty_sent,0.4125,0.4125
225,125,250,25,loyalty_sent,-0.4283,0.4283
226,125,250,50,loyalty_sent,-0.4033,0.4033
227,125,250,75,loyalty_sent,-0.3987,0.3987
228,125,250,100,loyalty_sent,0.422,0.422
229,125,250,125,loyalty_sent,0.4148,0.4148
230,125,275,25,loyalty_sent,-0.4156,0.4156
231,125,275,50,loyalty_sent,-0.4097,0.4097
232,125,275,75,loyalty_sent,0.3867,0.3867
233,125,275,100,loyalty_sent,0.4043,0.4043
234,125,275,125,loyalty_sent,0.4181,0.4181
235,125,300,25,loyalty_sent,-0.3108,0.3108
