word,care_p,fairness_p,loyalty_p,authority_p,sanctity_p,care_sent,fairness_sent,loyalty_sent,authority_sent,sanctity_sent
broken,0.13559322,0.203125,0.185185185,0.125,0.111111111,-0.6789125,-0.371846154,-0.32247,-0.492257143,-0.45926
complaints,0.107142857,0.2,0.147540984,0.162162162,0.161290323,-0.6761,-0.538508333,-0.681233333,-0.41995,-0.68988
unlawful,0.172413793,0.219512195,0.192307692,0.08,0.294117647,-0.67516,-0.386788889,-0.27716,-0.42955,-0.33302
fired,0.175438596,0.109375,0.076923077,0.224137931,0.06122449,-0.67247,-0.605085714,-0.59142,-0.643869231,-0.67
racism,0.186666667,0.166666667,0.216666667,0.075757576,0.342465753,-0.671371429,-0.63263,-0.727661538,-0.83904,-0.729688
regions,0.085106383,0.215686275,0.068181818,0.133333333,0.056603774,-0.67065,-0.021027273,-0.046166667,-0.083916667,-0.2827
personality,0.04,0.04,0.15625,0.125,0.12,-0.6705,0,-0.23124,0.123233333,-0.1372
harassment,0.235294118,0.219512195,0.12195122,0.18,0.176470588,-0.670225,-0.521777778,-0.65554,-0.593555556,-0.605277778
displayed,0.12,0.238095238,0.181818182,0.171428571,0.225806452,-0.6682,0.02994,-0.2823,-0.6038,-0.354128571
murders,0.388888889,0,0.166666667,0.125,0.157894737,-0.667971429,0,-0.776666667,-0.0516,-0.849466667
violated,0.285714286,0.346153846,0.145833333,0.320754717,0.272727273,-0.6676,-0.353033333,-0.389657143,-0.402329412,-0.260691667
row,0.178571429,0.2,0.027027027,0.060606061,0.147058824,-0.66448,-0.608016667,-0.9578,0,0.1492
stress,0.095238095,0.03125,0.081081081,0.029411765,0.176470588,-0.66385,-0.3976,-0.215866667,-0.4215,-0.613866667
evil,0.133333333,0.096774194,0.16,0.24137931,0.310344828,-0.66105,-0.673433333,-0.418575,-0.748514286,-0.584588889
ice,0.101449275,0.04040404,0,0.028169014,0.044776119,-0.660985714,0.191275,0,-0.10115,-0.232066667
rebellion,0.0625,0.2,0.130434783,0.5,0.071428571,-0.6597,-0.7096,-0.5135,-0.011133333,-0.6597
busy,0.038461538,0.148148148,0.157894737,0.090909091,0.227272727,-0.6597,-0.394325,-0.735966667,-0.1147,-0.00368
rose,0.044444444,0.026315789,0.127659574,0.083333333,0.1,-0.65865,-0.5994,-0.14275,0.263475,0.350166667
abuses,0.363636364,0.205128205,0.170731707,0.181818182,0.235294118,-0.65809375,-0.7340875,-0.690514286,-0.672525,-0.7251125
